personId,firstName,lastName,birthDate,school,country,heightInches,bodyWeightLbs,jersey,guard,forward,center,dleagueFlag,nbaFlag,gamesPlayedFlag,draftYear,draftRound,draftNumber,fromYear,toYear
196294534,Alberto,Abalde,,,,,,,0,0,0,,,,,,,,
76001,Alaa,Abdelnaby,1968-06-24,Duke,USA,82,240,30,0,1,0,0,1,1,1990,1,25,1990,1994
76002,Zaid,Abdul-Aziz,1946-04-07,Iowa State,USA,81,235,54,0,0,1,0,1,1,1968,1,5,1968,1977
76003,Kareem,Abdul-Jabbar,1947-04-16,UCLA,USA,86,225,33,0,0,1,0,1,1,1969,1,1,1969,1988
51,Mahmoud,Abdul-Rauf,1969-03-09,Louisiana State,USA,73,162,1,1,0,0,0,1,1,1990,1,3,1990,2000
1505,Tariq,Abdul-Wahad,1974-11-03,San Jose State,France,78,235,9,1,1,0,0,1,1,1997,1,11,1997,2003
949,Shareef,Abdur-Rahim,1976-12-11,California,USA,81,245,3,0,1,0,0,1,1,1996,1,3,1996,2007
1627114,Tom,Abercrombie,,,,,,,0,0,0,,,,,,,,
196294573,Tom,Abercrombie,,,,,,,0,1,0,,,,,,,,
76005,Tom,Abernethy,1954-05-06,Indiana,USA,79,220,5,0,1,0,0,1,1,1976,3,43,1976,1980
582,Mustafa,Abi,,,,,,,0,0,0,,,,,,,,
76006,Forest,Able,1932-07-27,Western Kentucky,USA,75,180,6,1,0,0,0,1,1,1956,,,1956,1956
1630546,Max,Abmas,2001-04-02,Oral Roberts,USA,,,,0,0,0,1,0,0,-1,-1,-1,,
76007,John,Abramovic,1919-02-09,Salem,USA,75,195,,0,1,0,0,1,1,-1,-1,-1,1946,1947
203518,Alex,Abrines,1993-08-01,FC Barcelona,Spain,78,200,,1,0,0,0,1,1,2013,2,32,2016,2018
56017,Alex,Abrines,,,,,,,0,0,0,,,,,,,,
1630173,Precious,Achiuwa,1999-09-19,Memphis,Nigeria,80,243,9,0,1,0,0,1,1,2020,1,20,2020,
101165,Alex,Acker,1983-01-21,Pepperdine,USA,77,185,,1,0,0,,,,2005,2,60,2005,2008
76008,Donald,Ackerman,1930-09-04,Long Island-Brooklyn,USA,72,183,,1,0,0,0,1,1,1953,2,,1953,1953
76009,Mark,Acres,1962-11-15,Oral Roberts,USA,83,220,42,0,0,1,0,1,1,1985,2,40,1987,1992
76010,Charles,Acton,1942-01-11,Hillsdale,USA,78,210,24,0,1,0,0,1,1,-1,-1,-1,1967,1967
196294104,Deng,Acuoth,,,,,,,0,0,0,,,,,,,,
64058,Deng,Acuoth,,,,,,,0,0,0,,,,,,,,
203112,Quincy,Acy,1990-10-06,Baylor,USA,79,240,,0,1,0,1,1,1,2012,2,37,2012,2018
76011,Alvan,Adams,1954-07-19,Oklahoma,USA,81,210,33,0,0,1,0,1,1,1975,1,4,1975,1987
76012,Don,Adams,1947-11-27,Northwestern,USA,79,210,10,0,1,0,0,1,1,1970,8,120,1970,1976
200801,Hassan,Adams,1984-06-20,Arizona,USA,76,220,,0,1,0,0,1,1,2006,2,54,2006,2008
1629824,Jalen,Adams,,,,,,,0,0,0,,,,,,,,
1629121,Jaylen,Adams,1996-05-04,St. Bonaventure,USA,72,225,,1,0,0,1,1,1,-1,-1,-1,2018,2020
203919,Jordan,Adams,1994-07-08,UCLA,USA,77,209,3,1,0,0,1,1,1,2014,1,22,2014,2015
149,Michael,Adams,1963-01-19,Boston College,USA,70,165,23,1,0,0,0,1,1,1985,3,66,1985,1995
203500,Steven,Adams,1993-07-20,Pittsburgh,New Zealand,83,265,12,0,0,1,0,1,1,2013,1,12,2013,
912,Rafael,Addison,1964-07-22,Syracuse,USA,80,241,7,0,1,0,0,1,1,1986,2,39,1986,1996
1628389,Bam,Adebayo,1997-07-18,Kentucky,USA,81,255,13,0,1,1,0,1,1,2017,1,14,2017,
