firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,playerteamId,opponentteamId,comment,startingPosition,gameDate
Josh,Hart,1628404,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,39.166666666666664,13,2,0,0,11,4,0.364,6,3,0.5,3,2,0.667,8,3,11,3,1,15,1610612752,1610612759,,F,2026-06-13 20:30:00
OG,Anunoby,1628384,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,32.78333333333333,11,0,1,3,11,3,0.273,5,1,0.2,6,4,0.667,8,0,8,5,1,2,1610612752,1610612759,,F,2026-06-13 20:30:00
Jeremy,Sochan,1631110,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,0.15,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1610612752,1610612759,,,2026-06-13 20:30:00
Jordan,McLaughlin,1629162,42500405,2026-06-13 20:30:00,San Antonio,Spurs,New York,Knicks,Playoffs,NBA Finals,Game 5,5,0,1,,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1610612759,1610612752,DNP - Coach's Decision,,2026-06-13 20:30:00
Jordan,Clarkson,203903,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,6.116666666666666,2,0,0,0,5,1,0.2,2,0,0.0,0,0,0.0,0,1,1,0,0,3,1610612752,1610612759,,,2026-06-13 20:30:00
Harrison,Barnes,203084,42500405,2026-06-13 20:30:00,San Antonio,Spurs,New York,Knicks,Playoffs,NBA Finals,Game 5,5,0,1,,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1610612759,1610612752,DNP - Coach's Decision,,2026-06-13 20:30:00
Landry,Shamet,1629013,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,13.216666666666667,5,0,0,0,7,2,0.286,4,1,0.25,0,0,0.0,1,0,1,2,0,-14,1610612752,1610612759,,,2026-06-13 20:30:00
Mohamed,Diawara,1642885,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1610612752,1610612759,DNP - Coach's Decision,,2026-06-13 20:30:00
Karl-Anthony,Towns,1626157,42500405,2026-06-13 20:30:00,New York,Knicks,San Antonio,Spurs,Playoffs,NBA Finals,Game 5,5,1,0,22.733333333333334,2,1,1,3,7,1,0.143,2,0,0.0,0,0,0.0,9,1,10,6,5,-4,1610612752,1610612759,,C,2026-06-13 20:30:00
Mason,Plumlee,203486,42500405,2026-06-13 20:30:00,San Antonio,Spurs,New York,Knicks,Playoffs,NBA Finals,Game 5,5,0,1,,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1610612759,1610612752,DNP - Coach's Decision,,2026-06-13 20:30:00
