gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameType,gameLabel,gameSubLabel,seriesGameNumber,seed,reboundsTeam,turnoversTeam,ot1Points,ot2Points,otAllPoints,gameDate
42500405,2026-06-13 20:30:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,1,0,90,94,18,7,6,86,33,0.384,37,12,0.324,19,12,0.632,33,14,47,22,12,-4,240.0,23,19,30,18,32,16,9,5,13,21,38,17,5,0,1,4,,Playoffs,NBA Finals,Game 5,5,2,12,1,,,,2026-06-13 20:30:00
42500405,2026-06-13 20:30:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,0,1,94,90,14,4,8,87,31,0.356,37,12,0.324,28,20,0.714,35,13,48,21,10,4,240.0,13,24,28,29,9,4,10,5,13,18,30,14,5,0,4,1,,Playoffs,NBA Finals,Game 5,5,3,18,4,,,,2026-06-13 20:30:00
42500404,2026-06-10 20:30:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,1,1,107,106,23,4,6,78,36,0.462,32,15,0.469,28,20,0.714,31,8,39,21,13,1,240.0,22,27,26,32,12,1,13,3,13,11,34,14,2,0,3,1,,Playoffs,NBA Finals,Game 4,4,3,14,2,,,,2026-06-10 20:30:00
42500404,2026-06-10 20:30:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,0,0,106,107,24,4,10,86,36,0.419,43,17,0.395,20,17,0.85,30,12,42,21,11,-1,240.0,41,35,14,16,28,29,10,3,12,25,28,10,2,0,1,3,,Playoffs,NBA Finals,Game 4,4,2,8,1,,,,2026-06-10 20:30:00
42500403,2026-06-08 20:30:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,0,1,115,111,28,7,7,84,39,0.464,34,12,0.353,32,25,0.781,31,6,37,21,8,4,240.0,33,24,35,23,25,12,7,6,5,21,44,10,4,0,1,2,,Playoffs,NBA Finals,Game 3,3,2,11,0,,,,2026-06-08 20:30:00
42500403,2026-06-08 20:30:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,1,0,111,115,18,6,4,88,40,0.455,37,13,0.351,22,18,0.818,34,12,46,23,13,-4,240.0,22,42,27,20,22,7,8,6,15,7,46,21,4,0,2,1,,Playoffs,NBA Finals,Game 3,3,3,10,0,,,,2026-06-08 20:30:00
42500402,2026-06-05 20:30:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,1,0,104,105,22,7,7,78,37,0.474,29,11,0.379,27,19,0.704,37,5,42,20,16,-1,240.0,34,18,23,29,19,12,14,5,11,19,48,9,3,0,0,2,,Playoffs,NBA Finals,Game 2,2,2,11,0,,,,2026-06-05 20:30:00
42500402,2026-06-05 20:30:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,0,1,105,104,29,6,11,89,37,0.416,38,15,0.395,21,16,0.762,34,10,44,23,12,1,240.0,25,31,28,21,27,14,9,5,19,16,38,14,3,0,2,0,,Playoffs,NBA Finals,Game 2,2,3,10,3,,,,2026-06-05 20:30:00
42500401,2026-06-03 20:30:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,1,0,95,105,16,4,4,89,32,0.36,43,11,0.256,25,20,0.8,40,14,54,23,13,-10,240.0,27,28,21,19,20,14,12,10,15,14,42,14,6,0,0,1,,Playoffs,NBA Finals,Game 1,1,2,6,0,,,,2026-06-03 20:30:00
42500401,2026-06-03 20:30:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,0,1,105,95,20,4,8,94,39,0.415,36,11,0.306,18,16,0.889,39,10,49,23,8,10,240.0,19,29,28,29,28,10,11,10,12,19,50,23,6,0,1,0,,Playoffs,NBA Finals,Game 1,1,3,11,1,,,,2026-06-03 20:30:00
